id,flatform,ticker,title,content,comment_time,stock_name,quantity,transaction_type,price_per_share,transaction_date,profit
102453544,toss,005930,신기해,시골에 세컨하우스 건축중인데 뒷집 석축이 무너져내려 저희집이 피해를 입었어요. 근데 어르신들 형편이 어려우시다고해서 그냥  공사비 350만원 제가 지불하고 뭐 앞으로 좋은일 있겠지. 했는데 오늘 아침 이게 무슨일이에요ㅜ 삼전으로 +300 빨리 더 올라서 350 채워주라~~~,2025-03-17T11:23:20+09:00,,,,,,
102453520,toss,005930,,진짜 요새 국장 폼 미쳤다ㄷㄷ,2025-03-17T11:22:55+09:00,,,,,,
102453448,toss,005930,,찍먹하고 갑니다. 곧 다시 만나요~,2025-03-17T11:22:06+09:00,삼성전자,99.0,판매,57400.0,3월 17일 11:13,"+388,080원 (7.3%)"
102453422,toss,005930,,계속올라라 이번 년도  안에 제발 내평단 67000 와라~~~,2025-03-17T11:21:49+09:00,,,,,,
102453416,toss,005930,ㅋ....,국민연금 고갈이란 소리 들을 때마다 화가나네 국민피같은돈 갈취를 해서 되신 투자를 해줄거면 국민연금제도가 첨 생긴 순간부터 현 25년까지 금을 구매후 돌려줬으면 1명당 10억씩 줘도 고갈은 커녕 남아돌았겠다. 어케 나라가 개인보다 바보냐고 ... 하긴 뉴턴이나 아인슈타인도 투자로는 망했다고 하니 인정해야되나... 데헷~★,2025-03-17T11:21:47+09:00,,,,,,
102453340,toss,005930,,올라가보자  상성 힘내라,2025-03-17T11:21:14+09:00,,,,,,
102453240,toss,005930,,좀 시원하게 가보자,2025-03-17T11:20:25+09:00,,,,,,
102453208,toss,005930,,올라가도불안하네,2025-03-17T11:20:06+09:00,,,,,,
102452978,toss,005930,,6만 찍으면 절반 손절하고 절반은 6만 5000 까지 존버한다. 믿는다 삼전. 줄먹 길들여진 개미들 얼렁 털고 올라와라.,2025-03-17T11:17:37+09:00,삼성전자,474.0,구매,62800.0,9월 30일 10:44,
102453520,toss,005930,,진짜 요새 국장 폼 미쳤다ㄷㄷ,2025-03-17T11:22:55+09:00,,,,,,
102453448,toss,005930,,찍먹하고 갑니다. 곧 다시 만나요~,2025-03-17T11:22:06+09:00,삼성전자,99.0,판매,57400.0,3월 17일 11:13,"+388,080원 (7.3%)"
102453422,toss,005930,,계속올라라 이번 년도  안에 제발 내평단 67000 와라~~~,2025-03-17T11:21:49+09:00,,,,,,
102453416,toss,005930,ㅋ....,국민연금 고갈이란 소리 들을 때마다 화가나네 국민피같은돈 갈취를 해서 되신 투자를 해줄거면 국민연금제도가 첨 생긴 순간부터 현 25년까지 금을 구매후 돌려줬으면 1명당 10억씩 줘도 고갈은 커녕 남아돌았겠다. 어케 나라가 개인보다 바보냐고 ... 하긴 뉴턴이나 아인슈타인도 투자로는 망했다고 하니 인정해야되나... 데헷~★,2025-03-17T11:21:47+09:00,,,,,,
102453340,toss,005930,,올라가보자  상성 힘내라,2025-03-17T11:21:14+09:00,,,,,,
102453240,toss,005930,,좀 시원하게 가보자,2025-03-17T11:20:25+09:00,,,,,,
102453208,toss,005930,,올라가도불안하네,2025-03-17T11:20:06+09:00,,,,,,
102452978,toss,005930,,6만 찍으면 절반 손절하고 절반은 6만 5000 까지 존버한다. 믿는다 삼전. 줄먹 길들여진 개미들 얼렁 털고 올라와라.,2025-03-17T11:17:37+09:00,삼성전자,474.0,구매,62800.0,9월 30일 10:44,
